gid,animal,id,time,x,y,geom,label
24,767,25,13121.501400463,1231835.26937828,5781466.18992131,0101000020110F000097F9F544DBCB3241B6AB278CF60D5641,0
25,767,26,13121.834837963,1232104.59575431,5781588.74991871,0101000020110F0000BE5A8398E8CC32410CABFE2F150E5641,0
26,767,27,13124.5014583333,1231562.23606321,5781756.99019497,0101000020110F000077A36E3CCACA3241B95A5F3F3F0E5641,1
27,767,28,13124.6678703704,1231591.86931166,5782019.54244094,0101000020110F00007E358BDEE7CA3241345AB7E2800E5641,1
28,767,29,13124.8349421296,1231457.90743644,5782044.17764871,0101000020110F000029C14DE861CA3241B2985E0B870E5641,1
29,767,30,13125.0010416667,1231595.43153537,5781961.40875097,0101000020110F00001D1A796EEBCA3241D4F9285A720E5641,1
30,767,31,13125.1678587963,1231649.29903697,5781945.8455918,0101000020110F0000D6AF8D4C21CB3241122D1E766E0E5641,1
31,767,32,13128.2512384259,1231525.13327693,5781658.42091187,0101000020110F0000D86F1E22A5CA32415738F09A260E5641,1
32,767,33,13128.5011574074,1231546.41756357,5781780.47068175,0101000020110F00003572E56ABACA324159A61F1E450E5641,1
33,767,34,13128.7521759259,1231624.46365857,5781972.500123099,0101000020110F0000FB53B27608CB324151040220750E5641,1
34,767,35,13129.0012847222,1231600.57449584,5782001.623055,0101000020110F0000CC281293F0CA32411422E0677C0E5641,1
35,767,36,13129.2519907407,1231629.4841676,5781950.20519697,0101000020110F00006868F27B0DCB324179F2218D6F0E5641,1
36,767,37,13129.7512847222,1231543.17816639,5781707.60925128,0101000020110F000002509C2DB7CA324115F9FDE6320E5641,1
37,767,38,13131.7521643519,1231913.94999438,5781691.53365774,0101000020110F0000E9D432F329CC3241CB7227E22E0E5641,1
38,767,39,13132.0013194444,1232019.38068411,5781680.15414255,0101000020110F00008B83746193CC3241B778DD092C0E5641,1
39,767,40,13132.251875,1232062.18302832,5781691.80612518,0101000020110F0000A9F1DA2EBECC3241118E97F32E0E5641,1
40,767,41,13133.2512384259,1231531.26698088,5782039.65771606,0101000020110F0000E4DB5844ABCA32411A0518EA850E5641,1
41,767,42,13133.7518518519,1232082.07582132,5781727.21093667,0101000020110F0000AA066913D2CC324185FC7FCD370E5641,1
42,767,43,13134.0019907407,1231842.67212442,5781680.84332404,0101000020110F0000935810ACE2CB32416505F9352C0E5641,1
43,767,44,13134.2515972222,1231838.00783776,5781637.232666001,0101000020110F0000CBA70102DECB3241F0FFE34E210E5641,1
44,767,45,13134.5016435185,1231652.02636449,5781425.12861416,0101000020110F0000BED2BF0624CB3241E3363B48EC0D5641,1
45,767,46,13135.0013078704,1231612.53020916,5781987.47029188,0101000020110F00009AC9BB87FCCA32411D4319DE780E5641,1
46,767,47,13135.2520486111,1231619.36522589,5781961.87356253,0101000020110F0000A5717F5D03CB3241D072E877720E5641,1
47,767,48,13135.501875,1231650.23412069,5782003.96315164,0101000020110F00006355EF3B22CB3241C746A4FD7C0E5641,1
48,767,49,13136.0013194444,1231870.05671916,5781637.2166385995,0101000020110F00009925850EFECB32412568DD4D210E5641,1
49,767,50,13136.2521180556,1231608.70081867,5781944.89994243,0101000020110F000034DA68B3F8CA324122A898396E0E5641,1
50,767,51,13136.5016666667,1231545.02606994,5782117.33035423,0101000020110F00000485AC06B9CA324111862455990E5641,1
51,767,52,13136.7515277778,1231715.66771737,5781998.8341735,0101000020110F00008B86EFAA63CB32413F1963B57B0E5641,1
52,767,53,13137.0012847222,1231639.70329686,5781861.13824773,0101000020110F000055430BB417CB3241020DD948590E5641,1
53,767,54,13137.2521643519,1231650.1228012,5781861.79538769,0101000020110F000042E66F1F22CB3241C5A1E772590E5641,1
54,767,55,13138.0012847222,1231600.20714152,5781968.41298292,0101000020110F0000063A0735F0CA3241EA4F6E1A740E5641,1
