gid,animal,id,time,x,y,geom,label
42,767,43,2005-12-17 00:02:52,1231842.67212442,5781680.84332404,0101000020110F0000935810ACE2CB32416505F9352C0E5641,1
43,767,44,2005-12-17 06:02:18,1231838.00783776,5781637.232666001,0101000020110F0000CBA70102DECB3241F0FFE34E210E5641,1
44,767,45,2005-12-17 12:02:22,1231652.02636449,5781425.12861416,0101000020110F0000BED2BF0624CB3241E3363B48EC0D5641,1
45,767,46,2005-12-18 00:01:53,1231612.53020916,5781987.47029188,0101000020110F00009AC9BB87FCCA32411D4319DE780E5641,1
46,767,47,2005-12-18 06:02:57,1231619.36522589,5781961.87356253,0101000020110F0000A5717F5D03CB3241D072E877720E5641,1
47,767,48,2005-12-18 12:02:42,1231650.23412069,5782003.96315164,0101000020110F00006355EF3B22CB3241C746A4FD7C0E5641,1
48,767,49,2005-12-19 00:01:54,1231870.05671916,5781637.2166385995,0101000020110F00009925850EFECB32412568DD4D210E5641,1
49,767,50,2005-12-19 06:03:03,1231608.70081867,5781944.89994243,0101000020110F000034DA68B3F8CA324122A898396E0E5641,1
50,767,51,2005-12-19 12:02:24,1231545.02606994,5782117.33035423,0101000020110F00000485AC06B9CA324111862455990E5641,1
51,767,52,2005-12-19 18:02:12,1231715.66771737,5781998.8341735,0101000020110F00008B86EFAA63CB32413F1963B57B0E5641,1
52,767,53,2005-12-20 00:01:51,1231639.70329686,5781861.13824773,0101000020110F000055430BB417CB3241020DD948590E5641,1
53,767,54,2005-12-20 06:03:07,1231650.1228012,5781861.79538769,0101000020110F000042E66F1F22CB3241C5A1E772590E5641,1
54,767,55,2005-12-21 00:01:51,1231600.20714152,5781968.41298292,0101000020110F0000063A0735F0CA3241EA4F6E1A740E5641,1
55,767,56,2005-12-21 06:02:12,1231554.20992793,5781988.03127301,0101000020110F00003AD6BD35C2CA324183600002790E5641,1
56,767,57,2005-12-21 12:01:21,1231443.9479723,5781828.20117355,0101000020110F00000A50AEF253CA32410707E00C510E5641,1
57,767,58,2005-12-21 18:01:44,1231484.75769762,5781771.65547464,0101000020110F0000A278F8C17CCA3241E84BF3E9420E5641,1
58,767,59,2005-12-22 00:01:56,1231317.62261415,5781681.53250558,0101000020110F000014A4639FD5C93241499214622C0E5641,1
59,767,60,2005-12-22 06:02:39,1231460.8685349,5781837.8178249,0101000020110F00009F4D58DE64CA3241403E5774530E5641,1
60,767,61,2005-12-22 12:02:07,1231612.40775772,5781959.00455364,0101000020110F000058CF6268FCCA32415A9B4AC0710E5641,1
61,767,62,2005-12-23 00:03:06,1231594.04004174,5781973.894559599,0101000020110F0000EC2C400AEACA3241E8764079750E5641,1
62,767,63,2005-12-24 00:02:40,1231927.6311597999,5781636.76787146,0101000020110F00004BB093A137CC324156CE2431210E5641,1
63,767,64,2005-12-24 06:02:20,1231536.43220525,5782011.67265249,0101000020110F0000D600A56EB0CA324108BD0CEB7E0E5641,1
64,767,65,2005-12-24 18:01:48,1231456.43801917,5782061.96889533,0101000020110F00003A06227060CA32418F61027E8B0E5641,1
65,767,66,2005-12-25 00:00:54,1231614.92357821,5781978.9113272,0101000020110F00001F9F6FECFECA3241522F53BA760E5641,1
66,767,67,2005-12-25 06:02:24,1231557.43819316,5781973.49385943,0101000020110F00004C6D2D70C5CA324195649B5F750E5641,1
67,767,68,2005-12-25 18:01:48,1231579.07870217,5781983.12669641,0101000020110F00004ED32514DBCA324142CB1BC8770E5641,1
68,767,69,2005-12-26 00:02:38,1231699.19243274,5782059.17999485,0101000020110F0000A545433153CB32411F0985CB8A0E5641,1
69,767,70,2005-12-26 18:02:21,1231649.22111332,5781721.29676864,0101000020110F0000EEE19A3821CB3241E541FE52360E5641,1
70,767,71,2005-12-27 00:03:05,1231829.48076476,5781709.08378374,0101000020110F00003966137BD5CB32417AB65C45330E5641,1
71,767,72,2005-12-27 06:02:09,1231773.75422767,5781688.9211762,0101000020110F0000881015C19DCB3241058DF43A2E0E5641,1
72,767,73,2005-12-27 18:02:44,1231771.39425447,5781629.55554554,0101000020110F000067DCED649BCB3241E10E8E631F0E5641,1
73,767,74,2005-12-28 00:02:40,1231548.5771616998,5781500.69631127,0101000020110F000081DEC093BCCA3241255D902CFF0D5641,1
74,767,75,2005-12-28 06:01:52,1231623.36159561,5781469.82807128,0101000020110F0000A787915C07CB3241AF1EFF74F70D5641,1
75,767,76,2005-12-29 00:02:48,1231983.31316909,5781258.76976075,0101000020110F000078D92B506FCC324198C243B1C20D5641,1
76,767,77,2005-12-29 06:01:57,1231761.38663224,5781397.40192181,0101000020110F00009A54FA6291CB32414116B959E50D5641,1
77,767,78,2005-12-29 12:03:10,1231955.03801843,5781566.359794,0101000020110F00006993BB0953CC32416ADD06970F0E5641,1
78,767,79,2005-12-29 18:02:45,1231660.97645155,5781420.52886209,0101000020110F000091BAF8F92CCB324161E0D821EB0D5641,1
79,767,80,2005-12-30 00:01:45,1231567.54600292,5781364.30630141,0101000020110F0000EDD8C68BCFCA32413B719A13DD0D5641,1
80,767,81,2005-12-30 06:01:42,1231628.88304235,5781463.60956035,0101000020110F00003E100FE20CCB32416A0903E7F50D5641,1
81,767,82,2005-12-30 12:02:52,1231668.50164912,5781327.18806735,0101000020110F0000A4136C8034CB3241A34B09CCD30D5641,1
82,767,83,2005-12-30 18:00:53,1231888.70273386,5781516.6593685,0101000020110F0000C25DE6B310CC3241F017332A030E5641,1
83,767,84,2005-12-31 00:02:12,1231934.06542636,5781608.25517723,0101000020110F00002CC8BF103ECC3241E0D254101A0E5641,1
84,767,85,2005-12-31 12:01:49,1231997.18357764,5781631.4467771,0101000020110F0000B8F1FE2E7DCC3241FAFE97DC1F0E5641,1
85,767,86,2005-12-31 18:02:20,1231984.09240553,5781665.39284954,0101000020110F000089E3A71770CC324166722459280E5641,1
86,767,87,2006-01-01 12:02:52,1231957.15308875,5781627.96883462,0101000020110F000007D3302755CC3241EC6201FE1E0E5641,1
87,767,88,2006-01-02 06:01:51,1232048.12337663,5781368.42521693,0101000020110F00005F9C951FB0CC324112C1361BDE0D5641,1
88,767,89,2006-01-03 18:03:10,1231645.94832029,5781828.3293955,0101000020110F0000581EC5F21DCB3241DDD01415510E5641,1
89,767,90,2006-01-04 06:02:02,1231919.24880214,5781668.26176341,0101000020110F00003E7FB13F2FCC324151BBC010290E5641,1
90,767,91,2006-01-05 06:03:01,1231966.50392598,5781418.87808057,0101000020110F0000044B01815ECC3241D97832B8EA0D5641,1
91,767,92,2006-01-06 06:02:42,1231952.76710082,5781497.69923445,0101000020110F000027B860C450CC3241DA41C06CFE0D5641,1
92,767,93,2006-01-06 12:03:10,1231808.31892956,5781280.56611876,0101000020110F00001E5EA551C0CB32412E4A3B24C80D5641,1
93,767,94,2006-01-07 18:03:13,1232131.44601549,5781411.16909521,0101000020110F000037122E7203CD3241B774D2CAE80D5641,1
94,767,95,2006-01-08 00:02:40,1231924.29157507,5781417.00292135,0101000020110F0000EEA9A44A34CC324108DD2F40EA0D5641,1
95,767,96,2006-01-08 06:01:47,1231983.92542629,5781366.46993384,0101000020110F0000C2BCE8EC6FCC32416365139EDD0D5641,1
96,767,97,2006-01-08 18:02:22,1231841.84836019,5781559.08341633,0101000020110F000027222ED9E1CB324172B156C50D0E5641,1
97,767,98,2006-01-09 00:02:56,1231727.22268052,5781900.13397844,0101000020110F00002F9701396FCB32414F1A9308630E5641,1
98,767,99,2006-01-09 06:01:47,1231447.93321007,5781985.88351691,0101000020110F0000EBDAE6EE57CA3241828A8B78780E5641,1
99,767,100,2006-01-09 12:02:12,1231396.51473727,5781754.16933521,0101000020110F00005DD2C58324CA32415963D68A3E0E5641,1
100,767,101,2006-01-10 00:02:16,1231879.21831325,5781592.1316819005,0101000020110F00008D60E33707CC3241EC796D08160E5641,1
101,767,102,2006-01-10 06:01:26,1231685.63371876,5781672.3167103,0101000020110F000085643BA245CB324147FB44142A0E5641,1
102,767,103,2006-01-11 00:01:49,1232067.33712074,5781700.97385818,0101000020110F0000798B4D56C3CC324143B1533E310E5641,1
103,767,104,2006-01-11 12:03:07,1232045.5073686,5781584.79117386,0101000020110F000098E8E281ADCC3241B097A232140E5641,1
104,767,105,2006-01-12 18:01:50,1231543.25609003,5781688.84103874,0101000020110F0000C01D8F41B7CA32412794D3352E0E5641,1
105,767,106,2006-01-13 00:01:47,1231438.81614377,5782105.61369932,0101000020110F000051CCEED04ECA324183D94667960E5641,1
106,767,107,2006-01-13 12:02:16,1231701.11825993,5782071.87430757,0101000020110F00006448461E55CB3241BDA7F4F78D0E5641,1
107,767,108,2006-01-13 18:02:42,1231902.66219801,5781846.88954223,0101000020110F00000CCF85A91ECC32418942EEB8550E5641,1
108,767,109,2006-01-14 06:03:08,1231551.04845439,5781990.98043148,0101000020110F0000C481670CBFCA3241AE63BFBE790E5641,1
109,767,110,2006-01-14 12:02:30,1231457.2172556003,5781898.80366503,0101000020110F000022109E3761CA3241733F6FB3620E5641,1
110,767,111,2006-01-14 18:03:09,1231608.23327681,5781906.97788311,0101000020110F00006E07B83BF8CA32410AA395BE640E5641,1
