animal,id,time,x,y
767,1,2005-11-27 16:01:53,1231569.43843427,5781498.86921619
767,2,2005-11-28 00:03:00,1231541.55290182,5781371.87100375
767,3,2005-11-28 04:01:52,1231879.10699376,5781535.53940703
767,4,2005-11-28 08:01:24,1231599.28318975,5781672.87767148
767,5,2005-11-28 12:01:56,1231634.19298206,5781679.46496111
767,6,2005-11-28 16:01:24,1231462.87228573,5781463.40120825
767,7,2005-11-28 20:00:53,1231446.10757042,5781406.2968917
767,8,2005-11-29 00:02:20,1231549.45658567,5781437.27709974
767,9,2005-11-29 12:01:01,1231638.12256009,5781744.21619516
767,10,2005-11-29 16:01:47,1231685.01032961,5781618.400493
767,11,2005-11-29 20:01:47,1231692.64684668,5781420.33653801
767,12,2005-11-30 00:02:51,1231535.89787169,5781440.85112968
767,13,2005-11-30 04:01:12,1231632.44526606,5781450.5314691
767,14,2005-11-30 12:02:14,1231319.39259405,5781516.46704234
767,15,2005-11-30 16:01:04,1231440.19650546,5781405.07884124
767,16,2005-11-30 20:01:12,1231550.55864863,5781442.35767187
767,17,2005-12-01 12:02:51,1231635.32844087,5781717.30590952
767,18,2005-12-01 16:02:38,1231453.38786512,5781955.36620292
767,19,2005-12-01 20:03:12,1231562.21379932,5782031.01856044
767,20,2005-12-02 00:02:24,1231562.77039677,5782039.06467543
767,21,2005-12-02 04:00:55,1231449.63639828,5781973.59002747
767,22,2005-12-02 16:01:42,1231527.44872234,5781967.94817101
767,23,2005-12-03 00:02:34,1231576.87457625,5781999.01048208
767,24,2005-12-04 00:02:17,1231871.12538627,5781623.99404489
767,25,2005-12-04 12:02:01,1231835.26937828,5781466.18992131
767,26,2005-12-04 20:02:10,1232104.59575431,5781588.74991871
767,27,2005-12-07 12:02:06,1231562.23606321,5781756.99019497
767,28,2005-12-07 16:01:44,1231591.86931166,5782019.54244094
767,29,2005-12-07 20:02:19,1231457.90743644,5782044.17764871
767,30,2005-12-08 00:01:30,1231595.43153537,5781961.40875097
767,31,2005-12-08 04:01:43,1231649.29903697,5781945.8455918
767,32,2005-12-11 06:01:47,1231525.13327693,5781658.42091187
767,33,2005-12-11 12:01:40,1231546.41756357,5781780.47068175
767,34,2005-12-11 18:03:08,1231624.46365857,5781972.5001231
767,35,2005-12-12 00:01:51,1231600.57449584,5782001.623055
767,36,2005-12-12 06:02:52,1231629.4841676,5781950.20519697
767,37,2005-12-12 18:01:51,1231543.17816639,5781707.60925128
767,38,2005-12-14 18:03:07,1231913.94999438,5781691.53365774
767,39,2005-12-15 00:01:54,1232019.38068411,5781680.15414255
767,40,2005-12-15 06:02:42,1232062.18302832,5781691.80612518
767,41,2005-12-16 06:01:47,1231531.26698088,5782039.65771606
767,42,2005-12-16 18:02:40,1232082.07582132,5781727.21093667
767,43,2005-12-17 00:02:52,1231842.67212442,5781680.84332404
767,44,2005-12-17 06:02:18,1231838.00783776,5781637.232666
767,45,2005-12-17 12:02:22,1231652.02636449,5781425.12861416
767,46,2005-12-18 00:01:53,1231612.53020916,5781987.47029188
767,47,2005-12-18 06:02:57,1231619.36522589,5781961.87356253
767,48,2005-12-18 12:02:42,1231650.23412069,5782003.96315164
767,49,2005-12-19 00:01:54,1231870.05671916,5781637.2166386
767,50,2005-12-19 06:03:03,1231608.70081867,5781944.89994243
767,51,2005-12-19 12:02:24,1231545.02606994,5782117.33035423
767,52,2005-12-19 18:02:12,1231715.66771737,5781998.8341735
767,53,2005-12-20 00:01:51,1231639.70329686,5781861.13824773
767,54,2005-12-20 06:03:07,1231650.1228012,5781861.79538769
767,55,2005-12-21 00:01:51,1231600.20714152,5781968.41298292
767,56,2005-12-21 06:02:12,1231554.20992793,5781988.03127301
767,57,2005-12-21 12:01:21,1231443.9479723,5781828.20117355
767,58,2005-12-21 18:01:44,1231484.75769762,5781771.65547464
767,59,2005-12-22 00:01:56,1231317.62261415,5781681.53250558
767,60,2005-12-22 06:02:39,1231460.8685349,5781837.8178249
767,61,2005-12-22 12:02:07,1231612.40775772,5781959.00455364
767,62,2005-12-23 00:03:06,1231594.04004174,5781973.8945596
767,63,2005-12-24 00:02:40,1231927.6311598,5781636.76787146
767,64,2005-12-24 06:02:20,1231536.43220525,5782011.67265249
767,65,2005-12-24 18:01:48,1231456.43801917,5782061.96889533
767,66,2005-12-25 00:00:54,1231614.92357821,5781978.9113272
767,67,2005-12-25 06:02:24,1231557.43819316,5781973.49385943
767,68,2005-12-25 18:01:48,1231579.07870217,5781983.12669641
767,69,2005-12-26 00:02:38,1231699.19243274,5782059.17999485
767,70,2005-12-26 18:02:21,1231649.22111332,5781721.29676864
767,71,2005-12-27 00:03:05,1231829.48076476,5781709.08378374
767,72,2005-12-27 06:02:09,1231773.75422767,5781688.9211762
767,73,2005-12-27 18:02:44,1231771.39425447,5781629.55554554
767,74,2005-12-28 00:02:40,1231548.5771617,5781500.69631127
767,75,2005-12-28 06:01:52,1231623.36159561,5781469.82807128
767,76,2005-12-29 00:02:48,1231983.31316909,5781258.76976075
767,77,2005-12-29 06:01:57,1231761.38663224,5781397.40192181
767,78,2005-12-29 12:03:10,1231955.03801843,5781566.359794
767,79,2005-12-29 18:02:45,1231660.97645155,5781420.52886209
767,80,2005-12-30 00:01:45,1231567.54600292,5781364.30630141
